,Date,cost,rate,gal,miles,perMile,mileage,comment
66,T2020-03-22,18.4,1.939,9.491,245.9,0.07,25.9,
67,T2020-04-12,19.97,1.799,11.102,247,0.08,22.2,
68,T2020-05-16,22.36,1.799,12.427,254.7,0.09,20.5,
69,T2020-06-01,21.09,1.799,11.724,283,0.07,24.1,
70,T2020-06-14,16.32,1.899,8.594,225.7,0.07,26.3,
71,T2020-06-23,20.48,1.899,10.786,294.6,0.07,27.3,
72,T2020-07-08,22.64,1.899,11.921,355.3,0.06,29.8,
73,T2020-07-11,24.47,2.179,11.231,330.2,0.07,29.4,
74,T2020-07-18,23.85,2.159,11.049,311.1,0.08,28.2,
75,T2020-07-23,25.34,1.999,12.674,336.5,0.08,26.6,
76,T2020-08-09,25.54,2.149,11.886,369.1,0.07,31.1,
77,T2020-08-13,25.78,2.419,10.659,284,0.09,26.6,
78,T2020-08-14,19.07,2.159,8.833,251.3,0.08,28.5,
79,T2020-08-20,26.52,2.099,12.634,369.4,0.07,29.2,
80,T2020-09-07,26.48,2.099,12.614,298,0.09,23.6,
81,T2020-09-25,23.42,2.039,11.486,315.3,0.07,27.5,
82,T2020-10-02,24.71,2.039,12.117,323.4,0.08,26.7,
83,T2020-10-24,22.04,2.039,10.807,221.6,0.1,20.5,
84,T2020-10-31,23.4,1.999,11.704,320,0.07,27.3,
85,T2020-11-12,24.64,1.979,12.449,244.3,0.1,19.6,
86,T2020-11-15,19.08,2.059,9.266,251,0.08,27.1,
87,T2020-11-29,24.58,1.979,12.422,277.8,0.09,22.4,
88,T2020-12-22,24.79,1.999,12.4,259.5,0.1,20.9,
89,T2021-01-08,25.82,2.079,12.42,283,0.09,22.8,
90,T2021-01-18,22.11,2.399,9.217,251.4,0.09,27.3,
91,T2021-01-29,20.69,2.199,9.408,227.6,0.09,27.3,
92,T2021-02-06,26.26,2.179,12.05,296.6,0.09,24.6,
93,T2021-02-19,16.74,2.399,6.977,136.6,0.12,19.6,
94,T2021-03-07,25.75,2.699,9.539,205.9,0.13,21.6,
95,T2021-03-13,32.46,2.679,12.115,292.3,0.11,24.1,
96,T2021-03-28,31.27,2.679,11.671,245.5,0.13,21.0,
97,T2018-09-04,30.59,2.739,11.17,298.9,0.13,21.0,
98,T2021-04-10,22.2,2.699,8.224,168.7,0.13,20.5,
99,T2021-04-13,33.93,2.699,12.573,334.8,0.10,26.6,
100,T2021-04-17,34.47,2.699,12.77,368.1,0.09,28.8,
101,T2021-04-30,27.43,2.699,10.163,229,0.12,22.5,
102,T2021-05-08,28.04,2.699,10.39,245.1,0.11,23.6,
103,T2021-05-16,32.02,2.979,10.75,267.7,0.12,24.9,
104,T2021-05-30,35.35,2.999,11.787,253.3,0.14,21.5,
