Date,cost,rate,gal,miles,perMile,mileage,comment
2020-02-24,28.26,2.259,12.508,246.3,0.11,19.7,
2020-03-09,26.56,2.199,12.08,244.3,0.11,20.2,
2020-03-15,19,1.999,9.505,216.4,0.09,22.8,
2020-03-22,18.4,1.939,9.491,245.9,0.07,25.9,
2020-04-12,19.97,1.799,11.102,247,0.08,22.2,
2020-05-16,22.36,1.799,12.427,254.7,0.09,20.5,
2020-06-01,21.09,1.799,11.724,283,0.07,24.1,
2020-06-14,16.32,1.899,8.594,225.7,0.07,26.3,
2020-06-23,20.48,1.899,10.786,294.6,0.07,27.3,
2020-07-08,22.64,1.899,11.921,355.3,0.06,29.8,
2020-07-11,24.47,2.179,11.231,330.2,0.07,29.4,
2020-07-18,23.85,2.159,11.049,311.1,0.08,28.2,
2020-07-23,25.34,1.999,12.674,336.5,0.08,26.6,
2020-08-09,25.54,2.149,11.886,369.1,0.07,31.1,
2020-08-13,25.78,2.419,10.659,284,0.09,26.6,
2020-08-14,19.07,2.159,8.833,251.3,0.08,28.5,
2020-08-20,26.52,2.099,12.634,369.4,0.07,29.2,
2020-09-07,26.48,2.099,12.614,298,0.09,23.6,
2020-09-25,23.42,2.039,11.486,315.3,0.07,27.5,
2020-10-02,24.71,2.039,12.117,323.4,0.08,26.7,
2020-10-24,22.04,2.039,10.807,221.6,0.10,20.5,
2020-10-31,23.4,1.999,11.704,320,0.07,27.3,
2020-11-12,24.64,1.979,12.449,244.3,0.10,19.6,
2020-11-15,19.08,2.059,9.266,251,0.08,27.1,
2020-11-29,24.58,1.979,12.422,277.8,0.09,22.4,
2020-12-22,24.79,1.999,12.4,259.5,0.10,20.9,
2021-01-08,25.82,2.079,12.42,283,0.09,22.8,
2021-01-18,22.11,2.399,9.217,251.4,0.09,27.3,
