,Date,cost,rate,gal,miles,perMile,mileage,comment
56,T2010-02-01,25.69,2.619,9.809,302.1,0.09,30.8,
57,T2010-02-24,25.22,2.739,9.207,324.2,0.08,35.2,
58,T2010-03-06,28.65,2.659,10.774,341.7,0.08,31.7,
59,T2010-03-22,28.02,2.699,10.381,331.4,0.08,31.9,
60,T2010-04-05,26.38,2.749,9.598,306.5,0.09,31.9,
61,T2010-04-28,27.35,2.829,9.669,293.2,0.09,30.3,
62,T2010-05-04,29.41,2.829,10.395,342.9,0.09,33,
63,T2010-05-17,25.78,2.679,9.622,345.1,0.07,35.9,
64,T2010-06-08,29.27,2.579,11.351,356.2,0.08,31.4,
65,T2010-06-13,25.97,2.689,9.659,344.7,0.08,35.7,
66,T2010-06-22,28.45,2.699,10.541,348.3,0.08,33,
67,T2010-07-03,28.82,2.659,10.839,378.7,0.08,34.9,
68,T2010-07-09,22.67,2.569,8.825,272,0.08,30.8,
69,T2010-07-31,27.55,2.699,10.209,360.5,0.08,35.3,
70,T2010-08-16,27.61,2.759,10.008,326.6,0.08,32.6,
71,T2010-08-26,25.71,2.759,9.319,325.3,0.08,34.9,
72,T2010-09-04,27.72,2.849,9.73,297.3,0.09,30.6,
73,T2010-09-05,23.27,2.799,8.314,306.3,0.08,36.8,
74,T2010-09-07,15.07,2.659,5.667,179.3,0.08,31.6,
75,T2010-09-09,27.68,2.699,10.257,346.1,0.08,33.7,
76,T2010-09-25,26.32,2.619,10.049,341.4,0.08,34,
77,T2010-10-06,28.02,2.619,10.698,344.6,0.08,32.2,
78,T2010-10-13,24.49,2.709,9.041,326.9,0.07,36.2,
79,T2010-10-17,22.53,2.769,8.138,310.9,0.07,38.2,
80,T2010-11-03,20.88,2.619,7.973,239.8,0.09,30.1,
81,T2010-11-22,27.28,2.659,10.261,338.1,0.08,33,
82,T2010-12-06,25.88,2.629,9.845,318.6,0.08,32.4,
83,T2010-12-21,23.9,2.739,8.726,270.8,0.09,31,
84,T2011-01-26,30.54,2.899,10.533,333.1,0.09,31.6,
85,T2011-02-07,30.04,3.029,9.918,308.6,0.1,31.1,
86,T2011-02-23,30.94,3.199,9.671,301,0.1,31.1,
87,T2011-03-08,36.1,3.429,10.528,345.2,0.1,32.8,
88,T2011-03-21,28.99,3.359,8.632,276.6,0.1,32,
89,T2011-03-30,34.1,3.509,9.717,343.3,0.1,35.3,
90,T2011-04-12,37.21,3.699,10.059,337,0.11,33.5,
91,T2011-04-25,36.29,3.689,9.838,340,0.11,34.6,
92,T2011-05-09,41.07,3.759,10.927,349.3,0.12,32,
93,T2011-05-27,37.54,3.579,10.488,358.5,0.1,34.2,
94,T2011-06-04,32.21,3.519,9.154,330.4,0.1,36.1,
95,T2011-06-09,38.23,3.529,10.832,377.9,0.1,34.9,
96,T2011-06-17,30.14,3.399,8.866,309.5,0.1,34.9,
97,T2011-06-25,31.12,3.419,9.101,283.6,0.11,31.2,
98,T2011-06-29,25.39,3.459,7.341,223.7,0.11,30.5,
99,T2011-06-30,29.78,3.449,8.635,318.5,0.09,36.9,
100,T2011-07-01,29.06,3.379,8.599,290.8,0.1,33.8,
101,T2011-07-02,38.24,3.549,10.775,371,0.1,34.4,
102,T2011-07-03,36.2,3.329,10.875,401.2,0.09,36.9,
103,T2011-07-03,35.6,3.659,9.729,350.2,0.1,36,
104,T2011-07-10,30.1,3.929,7.661,197.9,0.15,25.8,
105,T2011-07-11,35.11,3.819,9.193,334.6,0.1,36.4,
106,T2011-07-14,21.02,3.899,5.392,117.9,0.18,21.9,
107,T2011-07-21,38.77,3.839,10.099,404,0.1,40,
108,T2011-09-16,33.83,3.569,9.479,250.6,0.13,26.4,
109,T2011-10-02,37.45,3.519,10.643,282.9,0.13,26.6,
110,T2011-10-09,33.89,3.479,9.717,334.3,0.1,34.4,
111,T2011-10-29,37.69,3.419,11.024,254.9,0.15,23.1,
112,T2011-11-09,28.75,3.499,8.217,233.9,0.12,28.5,
113,T2011-11-11,39.52,3.699,10.685,354.5,0.11,33.2,
114,T2011-11-13,23.84,3.499,6.813,248.3,0.1,36.4,
115,T2011-11-25,38.39,3.499,10.973,309.5,0.12,28.2,
116,T2011-12-10,34.89,3.419,10.206,280.1,0.12,27.4,
117,T2012-07-26,38.51,3.799,10.137,222.8,0.17,22,
118,T2012-07-28,35.96,3.599,9.991,337.8,0.11,33.8,
119,T2012-07-31,38.55,3.739,10.311,340.1,0.11,33,
120,T2012-08-05,29.72,3.699,8.034,279.2,0.11,34.8,
121,T2012-08-10,32.2,3.919,8.216,333.4,0.1,40.6,
122,T2012-08-20,37.15,3.999,9.29,236,0.16,25.4,
123,T2012-09-09,41.68,3.899,10.691,248.2,0.17,23.2,
124,T2012-09-16,28.86,3.839,7.518,234.5,0.12,31.2,
125,T2012-09-28,39.86,3.799,10.491,327,0.12,31.2,
126,T2012-10-08,41.82,3.879,10.781,297.6,0.14,27.6,
127,T2012-10-14,41.36,3.839,10.774,299,0.14,27.8,
128,T2012-10-27,39.66,3.699,10.722,268.7,0.15,25.1,
129,T2012-11-18,36.69,3.389,10.825,239.8,0.15,22.2,
130,T2012-12-03,37.12,3.339,11.117,265.2,0.14,23.9,
131,T2012-12-08,8.64,3.299,2.618,58.2,0.15,22.2,
132,T2012-12-10,34.93,3.659,9.546,327.7,0.11,34.3,
133,T2012-12-15,12.61,3.699,3.409,105.6,0.12,31,
134,T2012-12-16,35.36,3.239,10.917,354,0.1,32.4,
135,T2013-01-02,35.36,3.359,10.528,284.2,0.12,27,
136,T2013-01-16,36.28,3.439,10.549,254.2,0.14,24.1,
137,T2013-01-30,34.14,3.539,9.647,228.6,0.15,23.7,
138,T2013-02-11,38.16,3.699,10.315,233.5,0.16,22.6,
139,T2013-02-25,41.37,3.929,10.53,240.3,0.17,22.8,
140,T2013-03-02,16.45,3.899,4.22,100.3,0.16,23.8,
141,T2013-03-09,42.81,3.939,10.869,347.6,0.12,32,
142,T2013-03-11,40.22,3.859,10.423,347.2,0.12,33.3,
143,T2013-03-27,40.82,3.799,10.745,239.5,0.17,22.3,
144,T2013-04-15,40.52,3.719,10.896,249.3,0.16,22.9,
145,T2013-04-29,35.94,3.679,9.769,255,0.14,26.1,
146,T2013-05-15,35.95,3.719,9.666,245.5,0.15,25.4,
147,T2013-05-28,38.49,3.699,10.405,285.1,0.14,27.4,
148,T2013-06-09,40.69,3.659,11.121,285.8,0.14,25.7,est
149,T2013-06-21,37.99,3.689,10.298,246.5,0.15,23.9,
150,T2013-06-23,38.19,3.629,10.524,372.9,0.1,35.4,
151,T2013-06-26,34.55,3.709,9.316,332.6,0.1,35.7,
152,T2013-06-29,32.06,3.689,8.691,286.5,0.11,33,est
153,T2013-07-01,27.53,3.559,7.734,259.8,0.11,33.6,est
154,T2013-07-12,37.13,3.599,10.318,286.6,0.13,27.8,
155,T2013-07-23,38.75,3.699,10.476,229.4,0.17,21.9,
