Date,cost,rate,gal.,miles,perMile,mileage,comment
5/21/2014,42.23,3.699,11.145,263.9,0.16,23.7,
5/30/2014,33.24,3.369,9.867,276.6,0.12,28,
6/3/2014,40.12,3.699,10.847,369.4,0.11,34.1,
6/20/2014,40.6,3.699,10.976,240.2,0.17,21.9,
7/9/2014,33.21,3.699,8.978,195.2,0.17,21.7,
7/11/2014,37.43,3.779,9.904,352.6,0.11,35.6,
7/13/2014,33.15,3.839,8.635,293.7,0.11,34,
7/14/2014,25.21,3.819,6.6,245.6,0.1,37.2,
7/19/2014,39.03,3.619,10.784,370,0.11,34.3,
7/31/2014,40.06,3.579,11.194,298.2,0.13,26.6,
8/2/2014,38.51,3.659,10.524,340.6,0.11,32.4,
8/5/2014,35.28,3.639,9.695,367.3,0.1,37.9,
8/10/2014,20.83,3.739,5.57,198.7,0.1,35.7,
8/14/2014,37.9,3.459,10.956,367.2,0.1,33.5,
9/1/2014,38.42,3.419,11.237,263.2,0.15,23.4,
9/18/2014,36.73,3.379,10.869,248.5,0.15,22.9,
10/1/2014,36.06,3.299,10.932,288.9,0.12,26.4,
10/9/2014,25.15,3.199,7.862,201.8,0.12,25.7,
11/7/2014,32.53,3.039,10.703,285.6,0.11,26.7,
11/16/2014,24.92,2.539,9.815,285.8,0.09,29.1,
11/23/2014,29.42,2.859,10.29,313.5,0.09,30.5,
12/5/2014,30.87,2.839,10.873,310.5,0.1,28.6,
12/18/2014,26.85,2.459,10.918,269.5,0.1,24.7,
12/26/2014,10.32,2.259,4.568,98.6,0.1,21.6,
12/28/2014,27.69,2.759,10.038,361.3,0.08,36,
1/1/2015,19.49,2.699,7.22,219.1,0.09,30.3,
1/22/2015,22.75,2.059,11.051,254.5,0.09,23.03,
2/5/2015,23.27,2.159,10.776,243.8,0.1,22.62,
2/22/2015,23.79,2.259,10.53,218.9,0.11,20.79,
3/13/2015,25.25,2.359,10.703,250.4,0.1,23.4,
3/27/2015,25.57,2.359,10.839,264,0.1,24.36,
4/16/2015,26.28,2.429,10.82,246,0.11,22.74,
5/2/2015,27.28,2.499,10.915,270.6,0.1,24.79,
5/14/2015,27.16,2.599,10.449,293.3,0.09,28.07,
5/28/2015,29.62,2.659,11.141,247.1,0.12,22.18,
6/11/2015,29.75,2.699,11.023,264.3,0.11,23.98,
6/14/2015,9.16,2.659,3.444,64.9,0.14,18.84,
6/16/2015,30.71,2.879,10.666,405.3,0.08,38,
6/22/2015,23.65,2.859,8.272,277.2,0.09,33.51,
6/24/2015,26.97,2.899,9.3,310.1,0.09,33.34,
6/26/2015,29.33,2.919,10.049,352.5,0.08,35.08,
6/28/2015,25.63,2.699,9.496,346.6,0.07,36.5,
7/13/2015,30.43,2.699,11.273,265.5,0.11,23.55,
7/26/2015,22.09,2.659,8.306,213.4,0.1,25.69,
7/31/2015,27.18,2.599,10.457,336.2,0.08,32.15,
8/6/2015,27.31,2.559,10.674,340.2,0.08,31.87,
8/15/2015,25.13,2.499,10.055,297.2,0.08,29.56,
8/18/2015,26.26,2.559,10.261,376.6,0.07,36.7,
8/22/2015,20.32,2.619,7.759,252.2,0.08,32.5,
8/28/2015,25.86,2.399,10.778,388.4,0.07,36.04,
9/13/2015,25.8,2.299,11.223,309,0.08,27.53,
9/30/2015,24.4,2.259,10.8,253.1,0.1,23.44,
10/9/2015,26.29,2.309,11.384,302.5,0.09,26.57,
10/21/2015,23.34,2.159,10.811,304,0.08,28.12,
11/15/2015,22.36,2.059,10.862,291.9,0.08,26.87,
12/2/2015,21.32,1.999,10.666,284.1,0.08,26.64,
12/26/2015,5.39,1.939,2.781,64.1,0.08,23.05,
12/27/2015,20.36,2.099,9.702,328.2,0.06,33.83,
1/1/2016,24.23,2.229,10.87,321,0.08,29.53,
1/2/2016,17.26,2.099,8.222,256.9,0.07,31.25,
1/12/2016,20.15,1.859,10.837,305.6,0.07,28.2,
3/26/2016,10.57,2.059,5.132,171.4,0.06,33.4,
3/31/2016,21.46,2.029,10.578,353.6,0.06,33.43,
4/14/2016,22.16,2.089,10.608,270.4,0.08,25.49,
4/29/2016,23.99,2.189,10.96,257.5,0.09,23.49,
4/29/2016,23.99,2.189,10.96,257.5,0.09,23.49,
6/12/2016,25.63,2.289,11.199,298,0.09,26.61,
6/15/2016,25.179,2.289,11,385.7,0.07,35.06,
6/25/2016,25.44,2.399,10.604,362.2,0.07,34.16,
6/26/2016,17.01,2.399,7.09,237.5,0.07,33.5,
6/28/2016,14.45,2.249,6.424,211.5,0.07,32.92,
6/28/2016,24.23,2.399,10.098,351.5,0.07,34.81,
7/3/2016,25.05,2.229,11.239,388.7,0.06,34.58,
8/9/2016,21.35,2.239,9.537,337.4,0.06,35.38,
8/17/2016,16.63,2.099,7.925,271.7,0.06,34.28,
9/7/2016,23.28,2.049,11.362,363.5,0.06,31.99,
9/21/2016,22.41,2.089,10.727,247.6,0.09,23.08,
10/1/2016,25.76,2.299,11.207,298.6,0.09,26.64,
10/9/2016,21.38,2.099,10.188,289.8,0.07,28.45,
10/19/2016,23.33,2.149,10.857,276.5,0.08,25.47,
11/10/2016,22.48,2.089,10.762,285.4,0.08,26.52,
11/23/2016,20.96,1.989,10.54,263.3,0.08,24.98,
12/4/2016,22.99,2.089,11.004,274.7,0.08,24.96,
12/19/2016,23.76,2.189,10.854,238.8,0.1,22,
12/31/2016,23.64,2.199,10.751,278,0.09,25.86,
1/11/2017,22.66,2.249,10.075,263.9,0.09,26.19,
1/22/2017,22.2,2.149,10.332,258.1,0.09,24.98,
1/29/2017,18.58,2.129,8.726,208.9,0.09,23.94,
2/7/2017,22.59,2.129,10.61,280.8,0.08,26.47,
2/16/2017,22.01,2.129,10.336,258.3,0.09,24.99,
2/23/2017,23.05,2.129,10.825,306.7,0.08,28.3,
3/17/2017,22.05,2.089,10.555,240.9,0.09,22.82,
3/25/2017,26.46,2.299,11.511,289.6,0.09,25.16,
4/9/2017,12.17,2.249,5.412,135.4,0.09,25.02,
4/10/2017,25.89,2.459,10.527,336.5,0.08,31.97,
4/16/2017,26.73,2.499,10.698,315.2,0.08,29.46,
4/29/2017,24.46,2.269,10.78,292.4,0.08,27.12,
5/10/2017,24.09,2.229,10.807,293.2,0.08,27.13,
5/22/2017,24.42,2.229,10.956,263.1,0.09,24.01,
5/29/2017,23.73,2.199,10.793,324.1,0.07,30.03,
6/6/2017,22.79,2.189,10.412,268.7,0.08,25.81,
6/17/2017,24.17,2.099,11.513,274.9,0.09,23.88,
6/25/2017,13.19,2.149,6.138,157.2,0.08,25.61,
7/1/2017,18.23,2.149,8.483,267.7,0.07,31.56,
7/7/2017,22.95,2.159,10.628,283.2,0.08,26.65,
7/14/2017,23.26,2.149,10.825,300.6,0.08,27.77,
7/24/2017,23.87,2.149,11.107,269.1,0.09,24.23,
8/2/2017,24.05,2.189,10.986,309.6,0.08,28.18,
8/6/2017,19.33,2.189,8.829,266.4,0.07,30.17,
8/7/2017,21.47,2.459,8.732,340.5,0.06,38.99,
